"PA Code",NSC Code,NCES Code,AUN Code,"ULCS Code",SRC School ID,School Name (ULCS),Publication Name,Admission Type,"Year Opened","Grade Level (based on enrollment)",Current Grade Span Served,"Authorized Grade Span at Scale",Phasing-In ,Phasing-Out,Governance,Charter Management Organization,School Reporting Category,Alternate Education Type,Turnaround Model,Turaround Year,CTE Status,Title I Designation,Federal Accountability Designation,City Council District (2000),Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Principal Name,Learning Network,Learning Network 2,Assistant Superintendent,Pre-K On-Site Indicator,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
3782,N/A,4.21899E+11,126515001,1260,126,"COMEGYS, BENJAMIN B. SCHOOL",Benjamin B. Comegys School,NEIGHBORHOOD,1911,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,5100 GREENWAY AVE.,PHILADELPHIA               ,PA,19143,215-727-2162,215-727-2329,Lisa Wilmer,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,1,0,0,0,0
7706,N/A,4.21899E+11,126515001,1280,128,PENN ALEXANDER SCHOOL,Sadie Alexander School,NEIGHBORHOOD,2001,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,4209 SPRUCE ST.,PHILADELPHIA               ,PA,19104,215-823-5465,215-382-2031,Sheila A. Sydnor,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
5185,N/A,4.21899E+11,126515001,1290,129,"HAMILTON, ANDREW SCHOOL",Andrew Hamilton School,NEIGHBORHOOD,1970,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,5640 SPRUCE ST.,PHILADELPHIA               ,PA,19139,215-471-2911,215-471-2724,Leta Johnson,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
6528,N/A,4.21899E+11,126515001,1300,130,"HARRINGTON, AVERY D. SCHOOL",Avery D. Harrington School,NEIGHBORHOOD,1927,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,5300 BALTIMORE AVE.,PHILADELPHIA               ,PA,19143,215-471-2914,215-471-5087,Mary DiGiacomo,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3807,N/A,4.21899E+11,126515001,1330,133,"HUEY, SAMUEL B. SCHOOL",Samuel B. Huey School,NEIGHBORHOOD,1964,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,3,N/A,5200 PINE ST.,PHILADELPHIA               ,PA,19143,215-471-2901,215-471-2720,John Spencer,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
6530,N/A,4.21899E+11,126515001,1340,134,"LEA, HENRY C.",Henry C. Lea School,NEIGHBORHOOD,1914,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,4700 LOCUST ST.,PHILADELPHIA               ,PA,19139,215-471-2915,215-471-4355,Jennifer Duffy,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
6533,N/A,4.21899E+11,126515001,1350,135,"LONGSTRETH, WILLIAM C. SCHOOL",William C. Longstreth School,NEIGHBORHOOD,1971,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,5700 WILLOWS AVE.,PHILADELPHIA               ,PA,19143,215-727-2158,215-727-2260,Robin Cooper,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3611,N/A,4.21899E+11,126515001,1360,136,"MC MICHAEL, MORTON SCHOOL",Morton McMichael School,NEIGHBORHOOD,1963,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2013-2014,N/A,1,PRIORITY,3,N/A,3543 FAIRMOUNT AVE.,PHILADELPHIA               ,PA,19104,215-823-8205,215-386-3549,Brian Wallace,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3798,N/A,4.21899E+11,126515001,1370,137,MITCHELL ELEMENTARY SCHOOL,S. Weir Mitchell School,NEIGHBORHOOD,1916,ELEMENTARYMIDDLE,00-07,N/A,1,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,5500 KINGSESSING AVE.,PHILADELPHIA               ,PA,19143,215-727-2160,215-727-2218,Cheryl Hackett,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,0,0,0,0,0
6535,N/A,4.21899E+11,126515001,1380,138,"MORTON, THOMAS G. SCHOOL",Thomas G. Morton School,NEIGHBORHOOD,1971,ELEMENTARY,00-05,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,2501 S. 63RD ST.,PHILADELPHIA               ,PA,19142,215-727-2164,215-727-2341,Carolyn Allen-Glass,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,0,0,0,0,0,0,0
3783,N/A,4.21899E+11,126515001,1390,139,"POWEL, SAMUEL SCHOOL",Samuel Powel School,NEIGHBORHOOD,1961,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,301 N. 36TH ST.,PHILADELPHIA               ,PA,19104,215-823-8201,215-823-8215,Kimberly Ellerbee,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,0,0,0,0,0,0,0,0
3613,N/A,4.21899E+11,126515001,1400,140,"PATTERSON, JOHN M. SCHOOL",John M. Patterson School,NEIGHBORHOOD,1921,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,7001 BUIST AVE.,PHILADELPHIA               ,PA,19142,215-492-6453,215-492-6827,Kenneth Jessup,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,0,0,0,0,0,0,0,0
3614,N/A,4.21899E+11,126515001,1410,141,"RHOADS, JAMES SCHOOL",James Rhoads School,NEIGHBORHOOD,1960,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,4901 PARRISH ST.,PHILADELPHIA               ,PA,19139,215-581-5504,215-581-3405,Joe Dixon,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3615,N/A,4.21899E+11,126515001,1420,142,"WASHINGTON, MARTHA SCHOOL",Martha Washington School,NEIGHBORHOOD,1930,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,766 N. 44TH ST.,PHILADELPHIA               ,PA,19104,215-823-8203,215-823-8292,Michael Smith,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3616,N/A,4.21899E+11,126515001,1440,144,PENROSE SCHOOL,Penrose School,NEIGHBORHOOD,1971,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,2515 S. 78TH ST.,PHILADELPHIA               ,PA,19153,215-492-6455,215-492-6985,Huie Douglas,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3804,N/A,4.21899E+11,126515001,1460,146,"ANDERSON, ADD B. SCHOOL",Add B. Anderson School,NEIGHBORHOOD,1963,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,1034 S. 60TH ST.,PHILADELPHIA               ,PA,19143,215-471-2903,215-471-6718,Kelly Parker,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
4732,N/A,4.21899E+11,126515001,1470,147,"LOCKE, ALAIN SCHOOL",Alain Locke School,NEIGHBORHOOD,1964,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,3,N/A,4550 HAVERFORD AVE.,PHILADELPHIA               ,PA,19139,215-823-8202,215-823-5721,Katherine Carter,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3663,N/A,4.21899E+11,126515001,1490,149,"BLANKENBURG, RUDOLPH SCHOOL",Rudolph Blankenburg School,NEIGHBORHOOD,1925,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,4600 W. GIRARD AVE.,PHILADELPHIA               ,PA,19131,215-581-5505,215-581-5922,Yvette Jackson,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
7022,N/A,4.21899E+11,126515001,1580,158,MYA-MIDDLE YEARS ALTERNATIVE,Middle Years Alternative School,CITYWIDE,1972,MIDDLE,8-May,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,4725 FAIRMOUNT AVE.,PHILADELPHIA               ,PA,19139,215-581-5633,215-581-5668,Shakae Dupre,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3859,393510,4.21899E+11,126515001,2000,200,SOUTH PHILADELPHIA H.S.,South Philadelphia High School,NEIGHBORHOOD,1957,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,PRIORITY,1,N/A,2101 S. BROAD ST.,PHILADELPHIA               ,PA,19148,215-952-6220,215-551-2275,Otis Hackney,LEARNING NETWORK 1,,Deb Carrera,1,0,0,0,0,0,0,0,0,0,1,1,1,1
3851,393245,4.21899E+11,126515001,2010,201,"FRANKLIN, BENJAMIN HIGH SCHOOL",Benjamin Franklin High School,NEIGHBORHOOD,1958,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,PRIORITY,5,N/A,550 N. BROAD ST.,PHILADELPHIA               ,PA,19130,215-299-4662,215-299-7285,Gregory Hailey,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,0,0,0,0,1,1,1,1
6996,393341,4.21899E+11,126515001,2020,202,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts School,SPECIAL ADMIT,1997,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,NO DESIGNATION,1,N/A,901 S. BROAD ST.,PHILADELPHIA               ,PA,19147,215-952-2462,215-952-6472,Joanne Beaver,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3808,393356,4.21899E+11,126515001,2140,214,"MASTERMAN,JULIA R. HIGH SCHOOL",Julia R. Masterman School,SPECIAL ADMIT,1933,MIDDLEHIGH,12-May,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,REWARD (HIGH ACHIEVEMENT),5,N/A,1699 SPRING GARDEN ST.,PHILADELPHIA               ,PA,19130,215-299-4661,215-299-3425,Jessica Brown,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3818,393319,4.21899E+11,126515001,2160,216,"FURNESS, HORACE HIGH SCHOOL",Furness High School,NEIGHBORHOOD,1912,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,PRIORITY,1,N/A,1900 S. 3RD ST.,PHILADELPHIA               ,PA,19148,215-952-6226,215-952-8635,Daniel Peou,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7226,N/A,4.21899E+11,126515001,2190,219,"FELL, D. NEWLIN SCHOOL",D. Newlin Fell School,NEIGHBORHOOD,1924,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,900 W. OREGON AVE.,PHILADELPHIA               ,PA,19148,215-952-6237,215-952-6239,Omahr Ashe,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3618,N/A,4.21899E+11,126515001,2210,221,BACHE-MARTIN SCHOOL,Bache-Martin School,NEIGHBORHOOD,1906,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,2201 BROWN ST.,PHILADELPHIA               ,PA,19130,215-684-5074,215-684-5446,Mark Vitvitsky,LEARNING NETWORK 3,,Sonya Harrison,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3620,N/A,4.21899E+11,126515001,2240,224,"BREGY, F. AMEDEE SCHOOL",F. Amedee Bregy School,NEIGHBORHOOD,1923,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,1700 BIGLER ST.,PHILADELPHIA               ,PA,19145,215-952-6218,215-952-0858,Christopher Wiler,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3622,N/A,4.21899E+11,126515001,2260,226,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,NEIGHBORHOOD,1927,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,1599 WHARTON ST.,PHILADELPHIA               ,PA,19146,215-952-6213,215-952-6443,Eileen Coutts,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
6822,393311,4.21899E+11,126515001,2290,229,FRANKLIN LEARNING CENTER,Franklin Learning Center,SPECIAL ADMIT,1978,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,NO DESIGNATION,5,N/A,616 N. 15TH ST.,PHILADELPHIA               ,PA,19130,215-684-5916,215-684-8969,Joyce Hoog,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3776,N/A,4.21899E+11,126515001,2320,232,"GIRARD, STEPHEN SCHOOL",Stephen Girard School,NEIGHBORHOOD,1959,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,1800 SNYDER AVE.,PHILADELPHIA               ,PA,19145,215-952-8554,215-952-6397,Thomas Koger,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,0,0,0,0,0,0,0,0
3648,N/A,4.21899E+11,126515001,2340,234,"MC CALL, GEN. GEORGE A. SCHOOL",General George A. McCall School,NEIGHBORHOOD,1909,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,REWARD (HIGH PROGRESS),1,N/A,325 S. 7TH ST.,PHILADELPHIA               ,PA,19106,215-351-7350,215-351-7349,Rose Rock,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3629,N/A,4.21899E+11,126515001,2370,237,"MCDANIEL, DELAPLAINE SCHOOL",Delaplaine McDaniel School,NEIGHBORHOOD,1937,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,2,N/A,1801 S. 22ND ST.,PHILADELPHIA               ,PA,19145,215-952-6380,215-952-6379,LaChante Collier-Bacon,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3649,N/A,4.21899E+11,126515001,2380,238,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,NEIGHBORHOOD,1931,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,725 S. 5TH ST.,PHILADELPHIA               ,PA,19147,215-351-7360,215-351-7190,Cindy Farlino,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,1,0,0,0,0
4868,N/A,4.21899E+11,126515001,2390,239,"MORRIS, ROBERT SCHOOL",Robert Morris School,NEIGHBORHOOD,1964,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,5,N/A,2600 W. THOMPSON ST.,PHILADELPHIA               ,PA,19121,215-684-5087,215-684-8881,Kathleen Dopkin,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
7664,393526,4.21899E+11,126515001,2410,241,GIRARD ACADEMIC MUSIC PROGRAM,Girard Academic Music Program,SPECIAL ADMIT,1914,MIDDLEHIGH,12-May,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,REWARD (HIGH ACHIEVEMENT),2,N/A,2136 W. RITNER ST.,PHILADELPHIA               ,PA,19145,215-952-8589,215-952-6544,Carol Domb,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3635,N/A,4.21899E+11,126515001,2450,245,"STANTON, EDWIN M. SCHOOL",Edwin M. Stanton School,NEIGHBORHOOD,1926,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,1700 CHRISTIAN ST.,PHILADELPHIA               ,PA,19146,215-875-3185,215-875-3711,Stacey Burnley,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
5186,N/A,4.21899E+11,126515001,2470,247,"GREENFIELD, ALBERT M. SCHOOL",Albert M. Greenfield School,NEIGHBORHOOD,1970,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,5,N/A,2200 CHESTNUT ST.,PHILADELPHIA               ,PA,19103,215-299-3566,215-299-3567,Daniel Lazar,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3805,N/A,4.21899E+11,126515001,2480,248,"ARTHUR, CHESTER A. SCHOOL",Chester A. Arthur School,NEIGHBORHOOD,1964,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,2000 CATHARINE ST.,PHILADELPHIA               ,PA,19146,215-875-5774,215-875-8057,Kimberly Newman,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,1,1,0,0,0,0
7225,N/A,4.21899E+11,126515001,2490,249,"WARING, LAURA W. SCHOOL",Laura W. Waring School,NEIGHBORHOOD,1956,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,1801 GREEN ST.,PHILADELPHIA               ,PA,19130,215-684-5073,215-684-5479,Brianna Dunn,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3642,N/A,4.21899E+11,126515001,2510,251,"JACKSON, ANDREW SCHOOL",Andrew Jackson School,NEIGHBORHOOD,1925,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1213 S. 12TH ST.,PHILADELPHIA               ,PA,19147,215-952-6223,215-952-6488,Lisa Ciaranca-Kaplan ,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
7227,N/A,4.21899E+11,126515001,2520,252,"JENKS, ABRAM SCHOOL",Abram S. Jenks School,NEIGHBORHOOD,1897,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,2501 S. 13TH ST.,PHILADELPHIA               ,PA,19148,215-952-6224,215-952-6407,Siouda Chestnut,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,0,0,0,0,0,0,0,0
7228,N/A,4.21899E+11,126515001,2540,254,"KEY, FRANCIS SCOTT SCHOOL",Francis S. Key School,NEIGHBORHOOD,1889,ELEMENTARY,00-06,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,2230 S. 8TH ST.,PHILADELPHIA               ,PA,19148,215-952-6216,215-952-8505,Stephanie Stover ,LEARNING NETWORK 1,,Deb Carrera,0,1,1,1,1,1,1,1,0,0,0,0,0,0
3647,N/A,4.21899E+11,126515001,2580,258,"KIRKBRIDE, ELIZA B. SCHOOL",Elizabeth B. Kirkbride School,NEIGHBORHOOD,1926,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1501 S. 7TH ST.,PHILADELPHIA               ,PA,19147,215-952-6214,215-952-6253,Victoria Magness,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3650,N/A,4.21899E+11,126515001,2590,259,"NEBINGER, GEORGE W. SCHOOL",George W. Nebinger School,NEIGHBORHOOD,1925,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,601 CARPENTER ST.,PHILADELPHIA               ,PA,19147,215-952-6202,215-952-6392,Anh Brown,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
